8311016,155902,3682,1000.0
8364319,156902,3705,1000.0
8417278,157902,3728,1000.0
8470451,158902,3752,1000.0
8523295,159902,3775,1000.0
8577128,160902,3798,1000.0
8629845,161902,3821,1000.0
8682572,162902,3845,1000.0
8735148,163902,3868,1000.0
8788409,164902,3891,1000.0
8841607,165902,3914,1000.0
8894260,166902,3937,1000.0
8946660,167902,3960,1000.0
8999289,168902,3982,1000.0
9051793,169902,4006,1000.0
9104858,170902,4029,1000.0
9157678,171902,4052,1000.0
9210054,172902,4075,1000.0
9262711,173902,4098,1000.0
9315543,174902,4122,1000.0
9368003,175902,4145,1000.0
9420444,176902,4169,1000.0
9472043,177902,4192,1000.0
9524524,178902,4215,1000.0
9577506,179902,4239,1000.0
9630716,180902,4262,1000.0
9683447,181902,4285,1000.0
9735907,182902,4308,1000.0
9788599,183902,4331,1000.0
9841617,184902,4354,1000.0
9894238,185902,4376,1000.0
9947127,186902,4400,1000.0
9999864,187902,4422,1000.0
